Account_ID,Loan_Amount
GB25CJHN61668991954128,107218.45
GB49HMIW84259747371148,15456.25
GB12CRMP76396941461010,109144.47
GB94ZKLE25915427453831,136611.31
GB02ONLW35363175982310,35837.54
GB02OJRO10215578080481,77858.27
GB19ERKD40668131723561,31797.58
GB30VEEQ53374644827000,39823.39
GB94HAFR05622781962492,84092.05
GB31IMSF03485816059081,57726.65
GB79QCEW33308544144460,83717.37
GB47XBIZ33295881901462,18567.35
GB94OKCL59279032832379,130236.58
GB73CGWE10647074196565,199486.15
GB70JFBL03174543287906,143609.69
GB69HBJO17150128469521,62689.76
GB32KCQI13859456924523,135732.72
GB71HJDW25131541732617,93064.97
GB26BXUC66313515979811,127914.58
GB78IFAX92230419758391,6451.29
GB16MWUV00471252298382,70868.19
GB12FZHO65480790657668,53591.35
GB93IZOA12152568393631,62765.55
GB17CPJD27334318798355,74068.52
GB23JBMD69423409025398,82355.94
GB17EBAD56027929713934,158692.27
GB86HXFU08716361403302,128245.57
GB74GAUF55015948541409,52070.44
GB13GNNQ00348659771971,89603.5
GB11DUAT08502973944570,116406.67
GB80OUYH05281647717967,13205.25
GB25QVDD90352324279682,6648.33
GB96DDKC60867012291709,160046.66
GB85YOGO95452090434867,160130.11
GB80XJXB21912842675727,96757.44
GB04NDND21640541431535,16947.82
GB91EBDN91913009689332,47943.62
GB58IABV23931604435974,19213.91
GB10LEPZ70498608572674,124933.09
GB21GXRM93321865115005,60104.08
GB67OTVJ13417549255339,42658.78
GB25KNMH90819454308883,181487.39
GB09HTXH98374606448101,117358.74
GB37ACMX78282901880663,155639.66
GB30RUTA67014126881576,82624.24
GB59JSKK69337395027650,166155.04
GB12ABKG18347963510027,72494.59
GB65TPVW60524501603938,11818.15
GB86LIBI72102215487181,114520.83
GB93GCVS28725309842091,157321.11
GB53XQIA85270472104664,100817.15
GB48NPUX56748314226061,172582.48
GB11PFDQ09701817454488,29758.15
GB37CAYV13888194820876,46689.45
GB34SJZX40345640407151,160288.02
GB50DSME49116937289753,74185.17
GB86WJKA60556184119367,32934.4
GB54QDDO82164572266695,177722.74
GB02KEQD68486789274930,101658.93
GB42KWSL48179674151288,183939.32
GB34CHZM98380669491022,74521.19
GB58NJGS17257099313204,83417.84
GB36JJNW54214050299631,86533.59
GB34ADOX18815021498038,150471.42
GB05CYDC64226827832349,159870.14
GB41PTWN56749346726198,40235.78
GB92JBAI05671461196479,80805.19
GB78RVLQ67729219749757,192657.93
GB43DYRW65600941143841,36915.63
GB33OKZC01322410345550,132083.99
GB47REYZ22253850569873,170472.78
GB23TRWY45212711858550,64303.4
GB85TJCF21787202115579,113258.94
GB86EXES99476634481893,79412.93
GB18WONI43635263377855,139490.53
GB56WBLI97782684340957,1147.34
GB62ZROU19592266029939,49926.82
GB25GUPT87584739419046,124856.19
GB82MQAM58775112660335,131782.04
GB55TFKF21090332186801,15050.01
GB40JLHC84306998010435,123903.39
GB90LQOT59195368099968,67394.53
GB38APQA03423510023180,6551.45
GB62OMCB12849490691876,78318.51
GB34DTLF61217682332582,45280.37
GB40VNJA98187581354253,180849.47
GB90MWYR58321573795917,145194.74
GB94QEEQ51085386073313,130349.52
GB09TPGO47674658090592,60491.68
GB86SSKP03891128137710,18735.85
GB11CESY20200959506398,185827.03
GB58OFDY77394289196292,183877.76
GB33JTVQ63641401471567,87965.3
GB17GGHX31097293576668,122577.45
GB19VNAE39466917215500,60513.29
GB75TCJO50421379644225,24973.33
GB36MGAW39238193630432,87179.1
GB04RSJP37944405603349,7242.53
GB52ENUT94988867741656,171258.74
GB83OKHG05433394126769,133855.11
GB14DTBV78932070683754,6930.05
GB52HIZR72269343794661,27182.27
GB42KCHD84203876995824,103726.19
GB70XXMF61228639114630,175929.54
GB89WUPG64543441087632,183283.96
GB72ONFV25412295748634,5784.62
GB61FEWH71797113066807,159458.62
GB65RYYX54449307329153,73917.45
GB38IBRY89813627304429,174814.13
GB87KMIG52388671159093,58761.32
GB34BDZI86908550389933,22989.24
GB75SZWS52909157232738,7005.82
GB08PRUR52850565014291,16280.88
GB05ECRU41561150511548,72223.38
GB90QRJW87526508321172,172217.88
GB32LDSG89050989323625,67322.75
GB36FQNA41563253272032,41074.45
GB59VKUV87662519566698,152521.94
