Citizen_ID,First_Name,Last_Name,Phone_Number,Account_ID,Total_Assets
45588993,Anthony,Kramer,3793403797,GB94TVGG68313491533716,107706.91
38007548,William,Moran,9127929827,GB45EQZV87274700160686,70737.78
64052091,Debra,Stevens,9121863127,GB55IFBV23903446932979,168898.57
35607179,Jason,Martinez,9128874321,GB44BUUY92790507137756,294835.2
90862757,Christopher,Lee,9126819762,GB17DCPM51387787801937,483029.27
77026446,Carol,Sparks,9128372241,GB43PCHS51808832218665,279855.77
33878021,Penny,Gutierrez,9128276256,GB26CWGL62549311980715,426404.88
35872485,Raymond,Williams,1722279342,GB89ZWUU17531218942063,213108.85
74636612,Mercedes,Cox,9122201005,GB77DNPC97532294538672,207245.02
59870364,Mary,Reynolds,9121452928,GB51SNLX83530638342032,195131.08
40649492,Cindy,Bishop,9122973990,GB47MGHT84694049396873,232415.4
70477592,Angelica,Johnson,7474698730,GB10FHPK14920500506808,432505.85
94784919,Erika,Perez,9124194142,GB42HFNL63211531764804,81802.32
46478404,Samantha,White,9123311665,GB70YRRL27531616501175,435764.29
60209352,Amanda,Barnes,9127778529,GB55DOTU11775630165843,335396.04
88302868,Matthew,Rocha,9121669703,GB66VYRQ54674682469983,142220.54
43383211,Tiffany,Hunt,7104062573,GB03ZSWC48588835237696,440882.24
98896220,Carolyn,Miles,9127649331,GB92XRIK41685089953628,128530.73
72102529,Andrea,Bradley,6521264410,GB94EAOA18310058351751,107865.66
13710844,Kenneth,Christian,9125851493,GB10JIRL90725208016347,306168.44
60474540,David,Haas,9127453745,GB37ZQZL41376310874670,293480.57
69306077,Danielle,Moreno,9127773759,GB98JVOO59985704329250,468582
86876826,Lisa,Hamilton,9129575590,GB12SHIQ11216599535500,400183.33
84821350,Melissa,Hicks,9125352767,GB54NWTV59962163411008,295335.48
98096830,Karen,Rice,9125251111,GB28UJBL40656266140071,39683.85
83086309,Ryan,Robertson,9127347544,GB93GLWL40407269600109,284978.41
61021407,Travis,Smith,9128655725,GB36LIOK45922851100184,368516.97
66381826,Corey,Soto,9123277084,GB10TFJP69228763913762,497321.76
66862602,Tammy,Lopez,9124532826,GB94PCCB44979766371252,348715.99
76770567,Rachel,White,9129789058,GB33XJZU55232208667808,243604.68
77496120,Kristin,Lee,9122811964,GB42HPAT36000671502484,404422.47
88981161,Timothy,Perkins,9126952983,GB23NAPR68949541793807,488241.73
16999039,Valerie,Thomas,9129633695,GB85TAKF52962380908969,384602.92
35348879,Frank,Adams,9125802375,GB07DMVF07974481616839,307835.08
93870195,Taylor,Miller,9122629514,GB23IBFD24619207408737,245961.51
10364970,Christopher,Nelson,9126027053,GB47LCFQ84018554881458,375695.13
87130048,Heather,Le,6042122841,GB72BFEU54018289734679,60271.36
95853902,Andrew,Mcknight,9126845153,GB87AXZZ36275650089921,337524.48
